Source,Strain,Year of isolation,Serotype,Phylotype,MLST
Human diarrhea,M856,2008,ONT:H6,B2,ST583
Human diarrhea,M858,2008,O125:H6,B2,ST583
Human diarrhea,M859,2009,O113:H6,B2,ST121
Human diarrhea,M884,2011,O96:H7,B2,ST28
Human diarrhea,M885,2011,O132:H34,B2,ST582
Human diarrhea,M900,2012,O145:H34,B2,ST722
Human diarrhea,BCW5711,2012,O63:H6,B2,ST583
Human diarrhea,BCW5746,2012,O63:H6,B2,ST583
Human diarrhea,BCW5743,2012,O63:H6,B2,ST583
Human diarrhea,BCW5739,2012,O63:H6,B2,ST583
Human diarrhea,BCW5717,2012,O63:H6,B2,ST583
Pigeon,ED360,1997,O45:H2,B1,ST20
Pigeon,ED361,1997,O75:H2,B1,ST20
Pigeon,ED363,1997,O4:H2,B1,UNK
Pigeon,ED366,1997,ONT:H2,B1,ST2685
Pigeon,ED369,1997,O45:H2,B1,ST20
Pigeon,ED377,1997,O4:H2,B1,UNK
Pigeon,ED430,2000,O45:H2,B1,ST20
Pigeon,ED444,2000,O128:H2,B1,ST20
HUS,EF453,2013,O80:H2,B1,ST301
HUS,EF467,2013,O26:H11,B1,ST21
HUS,EF476,2014,O55:H9,B1,ST301
